num_conv_layers,filter_size,num_filters_per_layer,dropout_rate,num_epochs,test_accuracy,training_time
1,3,16,0.0,10,89.7,16.183484688001045
1,3,16,0.0,20,90.31,29.168045399997936
1,3,16,0.0,30,90.67,44.58236829199814
1,3,16,0.25,10,89.1,14.933540580001136
1,3,16,0.25,20,91.33,29.912427720999403
1,3,16,0.25,30,91.4,44.55703210399952
1,3,16,0.5,10,89.47,14.745907101998455
1,3,16,0.5,20,90.07,29.134865873998933
1,3,16,0.5,30,91.58,46.37472084000183
1,3,32,0.0,10,89.77,15.143584395002108
1,3,32,0.0,20,91.42,30.04413604400179
1,3,32,0.0,30,91.75,45.22127042700231
1,3,32,0.25,10,90.15,15.4101104950023
1,3,32,0.25,20,91.34,30.026050115000544
1,3,32,0.25,30,91.42,45.54278851100025
1,3,32,0.5,10,90.26,15.315177947002667
1,3,32,0.5,20,91.59,30.561732488000416
1,3,32,0.5,30,91.88,44.865352167998935
1,3,64,0.0,10,91.0,15.112744505000592
1,3,64,0.0,20,91.53,30.225705328000913
1,3,64,0.0,30,91.75,46.047628633001295
1,3,64,0.25,10,90.77,15.168459175998578
1,3,64,0.25,20,91.41,30.68758838299982
1,3,64,0.25,30,91.6,45.77985058000195
1,3,64,0.5,10,90.69,15.21763108599771
1,3,64,0.5,20,91.45,30.899158762000297
1,3,64,0.5,30,91.77,45.835831365999184
1,5,16,0.0,10,89.59,15.295480320000934
1,5,16,0.0,20,90.07,34.995800534998125
1,5,16,0.0,30,90.54,55.64627695600211
1,5,16,0.25,10,89.4,17.007367232999968
1,5,16,0.25,20,90.69,32.717120898003486
1,5,16,0.25,30,91.2,49.21096004199717
1,5,16,0.5,10,89.2,16.993589118999807
1,5,16,0.5,20,90.55,33.62271292200239
1,5,16,0.5,30,91.14,48.65839734200199
1,5,32,0.0,10,89.28,16.283266498001467
1,5,32,0.0,20,90.66,32.71006937399943
1,5,32,0.0,30,90.88,65.05346345100043
1,5,32,0.25,10,90.29,17.57485350800198
1,5,32,0.25,20,90.91,31.49874017199909
1,5,32,0.25,30,91.66,45.1467988000004
1,5,32,0.5,10,90.59,15.11290999099947
1,5,32,0.5,20,90.88,30.21600915399904
1,5,32,0.5,30,90.87,44.412006490998465
1,5,64,0.0,10,90.58,15.017090503999498
1,5,64,0.0,20,90.62,30.332270920000155
1,5,64,0.0,30,91.61,45.53593790699961
1,5,64,0.25,10,89.79,15.11607783799991
1,5,64,0.25,20,91.88,30.03740751800069
1,5,64,0.25,30,91.48,45.70396977699784
1,5,64,0.5,10,90.54,15.533969741001783
1,5,64,0.5,20,91.09,30.44120560800002
1,5,64,0.5,30,91.84,45.633555573000194
2,3,16,0.0,10,87.19,15.347976005999953
2,3,16,0.0,20,88.95,30.720758112998737
2,3,16,0.0,30,89.3,45.321366413998476
2,3,16,0.25,10,86.52,15.109009312000126
2,3,16,0.25,20,88.43,30.220225393000874
2,3,16,0.25,30,89.61,45.324306927999714
2,3,16,0.5,10,85.16,14.90417720700134
2,3,16,0.5,20,87.5,29.967768827002146
2,3,16,0.5,30,88.04,46.25221385000259
2,3,32,0.0,10,88.12,17.991494268997485
2,3,32,0.0,20,89.57,31.45636354599992
2,3,32,0.0,30,90.74,47.107595852001396
2,3,32,0.25,10,88.99,15.412404286998935
2,3,32,0.25,20,90.3,30.51370042599956
2,3,32,0.25,30,91.47,45.3299999990013
2,3,32,0.5,10,87.81,15.038778649999585
2,3,32,0.5,20,89.68,30.25287179299994
2,3,32,0.5,30,89.73,45.42495587099984
2,3,64,0.0,10,89.15,17.697369904999505
2,3,64,0.0,20,91.21,35.40918180500012
2,3,64,0.0,30,91.18,53.343606177000765
2,3,64,0.25,10,90.02,18.215800458001468
2,3,64,0.25,20,91.18,36.33322932400188
2,3,64,0.25,30,92.07,54.527203817000554
2,3,64,0.5,10,89.27,18.10771808299978
2,3,64,0.5,20,90.67,36.19140622999839
2,3,64,0.5,30,91.09,54.285649116998684
2,5,16,0.0,10,88.4,15.287395987001219
2,5,16,0.0,20,89.46,30.4217789309987
2,5,16,0.0,30,90.23,44.94067874499888
2,5,16,0.25,10,86.94,14.94007175599836
2,5,16,0.25,20,89.01,31.107540352997603
2,5,16,0.25,30,89.77,49.01407910600028
2,5,16,0.5,10,86.3,15.167688426998211
2,5,16,0.5,20,87.92,30.576354786000593
2,5,16,0.5,30,88.38,46.14313828000013
2,5,32,0.0,10,89.18,15.454600738998124
2,5,32,0.0,20,90.34,30.596889011001622
2,5,32,0.0,30,91.04,45.346422696002264
2,5,32,0.25,10,89.35,15.194267755003239
2,5,32,0.25,20,90.56,30.912653516999853
2,5,32,0.25,30,91.13,45.58381579699926
2,5,32,0.5,10,88.52,15.421741447000386
2,5,32,0.5,20,89.52,30.827410679001332
2,5,32,0.5,30,90.41,46.234039891001885
2,5,64,0.0,10,90.75,16.1052498450008
2,5,64,0.0,20,90.97,32.460844706998614
2,5,64,0.0,30,91.16,48.775212542997906
2,5,64,0.25,10,90.66,16.455524124001386
2,5,64,0.25,20,91.84,33.091385134997836
2,5,64,0.25,30,92.07,49.64091190799809
2,5,64,0.5,10,90.0,16.43788908699935
2,5,64,0.5,20,91.33,33.008161512996594
2,5,64,0.5,30,91.57,49.81421353799669
3,3,16,0.0,10,81.91,15.44168213699595
3,3,16,0.0,20,84.88,30.445223709000857
3,3,16,0.0,30,84.46,46.124186729997746
3,3,16,0.25,10,77.7,15.35375472099986
3,3,16,0.25,20,80.93,30.701278877000732
3,3,16,0.25,30,81.36,45.612525538002956
3,3,16,0.5,10,69.08,15.395602249998774
3,3,16,0.5,20,65.34,30.668577652999375
3,3,16,0.5,30,73.44,45.92723096100235
3,3,32,0.0,10,85.21,15.570486023003468
3,3,32,0.0,20,86.49,30.855242976002046
3,3,32,0.0,30,87.56,45.14249313300388
3,3,32,0.25,10,81.98,15.065824974000861
3,3,32,0.25,20,86.14,30.717818918994453
3,3,32,0.25,30,86.13,46.1503001730016
3,3,32,0.5,10,78.65,15.354374449998431
3,3,32,0.5,20,80.08,30.96829568300018
3,3,32,0.5,30,82.13,45.8297117070033
3,3,64,0.0,10,85.63,19.4248497410008
3,3,64,0.0,20,88.96,38.99080936900282
3,3,64,0.0,30,89.68,58.59779298799549
3,3,64,0.25,10,86.61,19.987706801999593
3,3,64,0.25,20,88.52,40.1988465750037
3,3,64,0.25,30,89.27,60.05961212099646
3,3,64,0.5,10,82.89,19.9534374030045
3,3,64,0.5,20,86.89,39.998521197994705
3,3,64,0.5,30,87.17,59.92061194100097
